ORDEREXTERNALID,TASK_INSTANCE_ID,TASK_NAME,Tasks,STATUS,CREATED_DTTM,PRODUCTSPEC,SWIFT STATUS,Task Status changed to,Read Swift status
552791874,AP-EXT-552791874-4387574-MON-1-0-1001-UNI-343236017-1,Create UNI Service,Create UNI Service,In-Progress,2-Sep-22,INTERNET,Closed,Completed,Closed
552794012,AP-EXT-552794012-4390874-MON-1-0-1001-UNI-343530165-1,Create UNI Service,Create UNI Service,In-Progress,2-Sep-22,INTERNET,Closed,Completed,Closed
552811381,AP-EXT-552811381-4398703-MON-1-0-1001-UNI-343235984-1,Create UNI Service,Create UNI Service,Failed,2-Sep-22,INTERNET,Closed,Completed,Closed
552375658,AP-EXT-552375658-3844107-MON-1-0-1001-xVC-341403541-1-1,Create XVC Service SL,Create XVC Service SL,Failed,19-Sep-22,E-Access,Closed,Completed,Cancelled
552404070,AP-EXT-552404070-3878031-MON-1-0-1001-xVC-341889360-1-1,Create XVC Service SL,Create XVC Service SL,In-Progress,21-Sep-22,E-Access,Closed,Completed,Closed
552596169,AP-EXT-552596169-4151905-MON-1-0-1001-xVC-342321248-1-1,Create XVC Service SL,Create XVC Service SL,Failed,7-Sep-22,E-Line,Closed,Completed,Closed
552663899,AP-EXT-552663899-4243897-MON-2-0-1001-xVC-342938472-1-1,Create XVC Service SL,Create XVC Service SL,In-Progress,21-Sep-22,E-Access,Closed,Completed,Cancelled
552675949,AP-EXT-552675949-4264624-MON-1-0-1001-xVC-342817356-1-1,Create XVC Service SL,Create XVC Service SL,Failed,19-Oct-22,E-Line,Closed,Completed,Closed
552697824,AP-EXT-552697824-4274966-MON-2-2-1001-xVC-342657423-1-1,Create XVC Service SL,Create XVC Service SL,Failed,3-Oct-22,E-Line,Closed,Completed,Cancelled
552758361,AP-EXT-552758361-4316566-MON-1-0-1001-xVC-343398984-1-1,Create XVC Service SL,Create XVC Service SL,In-Progress,6-Oct-22,E-Access,Closed,Completed,Cancelled
552808644,AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1,Create XVC Service SL,Create XVC Service SL,In-Progress,19-Sep-22,E-Line,Closed,Completed,Closed
552824131,AP-EXT-552824131-4393660-MON-1-0-1001-xVC-343671149-1-1,Create XVC Service SL,Create XVC Service SL,In-Progress,20-Sep-22,E-Access,Closed,Completed,Closed
552839475,AP-EXT-552839475-4414778-MON-1-0-1001-xVC-343728276-1-1,Create XVC Service SL,Create XVC Service SL,In-Progress,2-Sep-22,E-Access,Closed,Completed,Closed
552853631,AP-EXT-552853631-4430502-MON-1-0-1001-xVC-342605846-1-1,Create XVC Service SL,Create XVC Service SL,Failed,16-Sep-22,E-Access,Closed,Completed,Closed
552872765,AP-EXT-552872765-4471304-MON-1-0-1001-xVC-343798098-1-1,Create XVC Service SL,Create XVC Service SL,Failed,6-Oct-22,E-Access,Closed,Completed,Cancelled
552811381,AP-EXT-552811381-4398703-MON-1-0-1001-UNI-343235984-1-CREATE-UNI-1,CREATE-UNI-1,CREATE-UNI-1,Failed,2-Sep-22,INTERNET,Closed,Completed,Closed
552907775,AP-EXT-552907775-4481130-MON-1-0-1-DELETE-XVC-TL-1-8,Deactivate E-AccessEvpl in ACT,Deactivate E-AccessEvpl in ACT,Assigned,11-Oct-22,E-Access,Closed,Completed,Closed
552920944,AP-EXT-552920944-4495383-MON-1-0-1-DELETE-UNI-1-4,Deactivate Uni in ACT,Deactivate Uni in ACT,Failed,13-Oct-22,E-Line,Closed,Completed,Closed
552845479,AP-EXT-552845479-4419249-MON-1-0-1-DELETE-XVC-TL-1,Delete EVPL Service ASRI,Delete EVPL Service ASRI,Failed,8-Sep-22,E-Line,Closed,Completed,Closed
552888618,AP-EXT-552888618-4463661-MON-1-0-1-DELETE-XVC-TL-1,Delete EVPL Service ASRI,Delete EVPL Service ASRI,Failed,21-Oct-22,E-Line,Closed,Completed,Cancelled
552907775,AP-EXT-552907775-4481130-MON-1-0-1-DELETE-XVC-TL-1,Delete EVPL Service ASRI,Delete EVPL Service ASRI,Failed,11-Oct-22,E-Access,Closed,Completed,Cancelled
552913227,AP-EXT-552913227-4491709-MON-1-0-1-DELETE-XVC-TL-1,Delete EVPL Service ASRI,Delete EVPL Service ASRI,Failed,24-Oct-22,E-Line,Closed,Completed,Cancelled
552808644,AP-EXT-552808644-4390320-MON-1-0-1001-xVC-343600527-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1-DELETE-OLINE-6-1,Delete OlinePath ASRI,Delete OlinePath ASRI,Failed,22-Sep-22,E-Line,Closed,Completed,Cancelled
