"ORDEREXTERNALID","TASK_INSTANCE_ID","swiftStatusInSheet","swiftStatusCurrent"
"552910524","AP-EXT-552910524-4483709-MON-1-0-0-1001","Closed","Closed"
"552810995","AP-EXT-552810995-4379910-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-DIA-1-2","Closed","Closed"
"552845167","AP-EXT-552845167-4420588-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-2-1-3","Closed","Closed"
"552842139","AP-EXT-552842139-4415091-MON-1-0-1-DELETE-UNI-1-5","Cancelled","Cancelled"
"552787212","AP-EXT-552787212-4353779-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552903230","AP-EXT-552903230-4477458-MON-1-0-1-DELETE-OLINE-2-1","Cancelled","Cancelled"
"552886549","AP-EXT-552886549-4464328-MON-2-0-1","Cancelled","Cancelled"
"552849494","AP-EXT-552849494-4425445-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552841791","AP-EXT-552841791-4416237-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552854589","AP-EXT-552854589-4432358-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-1-1-3","Closed","Closed"
"552842139","AP-EXT-552842139-4415091-MON-1-0-1","Cancelled","Cancelled"
"552842807","AP-EXT-552842807-4419914-MON-2-0-0","Cancelled","Cancelled"
"552810995","AP-EXT-552810995-4379910-MON-2-0-1","Cancelled","Cancelled"
"552845167","AP-EXT-552845167-4420588-MON-2-0-1","Cancelled","Cancelled"
"552858802","AP-EXT-552858802-4437987-MON-2-0-1","Cancelled","Cancelled"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-GATHER-ELYNK-OLINE-SL-1-1-CREATE-OLINE-1-1-11","Closed","Closed"
"552671612","AP-EXT-552671612-4223921-MON-2-0-1","Cancelled","Cancelled"
"552792874","AP-EXT-552792874-4360918-MON-3-1-1","Cancelled","Cancelled"
"552902379","AP-EXT-552902379-4478207-MON-2-0-1","Cancelled","Cancelled"
"552411380","AP-EXT-552411380-3886456-MON-2-0-0","Cancelled","Cancelled"
"552708975","AP-EXT-552708975-4368505-MON-1-0-1001-NTA-343161029-1-10009-100091","Closed","Closed"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-1-1-4","Closed","Closed"
"552858802","AP-EXT-552858802-4437987-MON-2-0-0","Cancelled","Cancelled"
"552838423","AP-EXT-552838423-4419958-MON-1-0-DIA-343708635-1-CREATE-OLINE-1-11","Closed","Closed"
"552797237","AP-EXT-552797237-4377329-MON-2-0-1001-xVC-343510566-1-1-CREATE-XVC-SL-1-CREATE-Elynk-TL-1-GATHER-ELYNK-2-1-2","Closed","Closed"
"552671612","AP-EXT-552671612-4223921-MON-2-0-0","Cancelled","Cancelled"
"552675949","AP-EXT-552675949-4264624-MON-1-0-1001-xVC-342817356-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1-1","Closed","Closed"
"552794085","AP-EXT-552794085-4360783-MON-2-0-0","Cancelled","Cancelled"
"552872765","AP-EXT-552872765-4471304-MON-1-0-1001-xVC-343798098-1-1","Closed","Closed"
"552278173","AP-EXT-552278173-4520344-MON-2-0-1","Cancelled","Cancelled"
"552749394","AP-EXT-552749394-4315190-MON-2-0-0-1001","Cancelled","Cancelled"
"552792874","AP-EXT-552792874-4360918-MON-3-1-0-1001","Cancelled","Cancelled"
"552841791","AP-EXT-552841791-4416237-MON-2-0-0","Cancelled","Cancelled"
"552404070","AP-EXT-552404070-3878031-MON-1-0-1001-xVC-341889360-1-1","Closed","Closed"
"552787212","AP-EXT-552787212-4353779-MON-2-0-0-1001","Cancelled","Cancelled"
"552886549","AP-EXT-552886549-4464328-MON-2-0-0-1001","Cancelled","Cancelled"
"552749394","AP-EXT-552749394-4315190-MON-2-0-0","Cancelled","Cancelled"
"552411380","AP-EXT-552411380-3886456-MON-2-0-0-1001","Cancelled","Cancelled"
"552886549","AP-EXT-552886549-4464328-MON-2-0-0","Cancelled","Cancelled"
"552810995","AP-EXT-552810995-4379910-MON-2-0-0-1001","Cancelled","Cancelled"
"552845167","AP-EXT-552845167-4420588-MON-2-0-0","Cancelled","Cancelled"
"552842807","AP-EXT-552842807-4419914-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552842807","AP-EXT-552842807-4419914-MON-2-0-0-1001","Cancelled","Cancelled"
"552792316","AP-EXT-552792316-4355827-MON-1-0-0","Cancelled","Cancelled"
"552858802","AP-EXT-552858802-4437987-MON-2-0-0-1001","Cancelled","Cancelled"
"552278173","AP-EXT-552278173-4520344-MON-2-0-1-DELETE-XVC-TL-1-10","Cancelled","Cancelled"
"552749394","AP-EXT-552749394-4315190-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552841791","AP-EXT-552841791-4416237-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552794085","AP-EXT-552794085-4360783-MON-2-0-1-DELETE-XVC-TL-1","Cancelled","Cancelled"
"552585694","AP-EXT-552585694-4101091-MON-4-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552792874","AP-EXT-552792874-4360918-MON-3-1-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552903230","AP-EXT-552903230-4477458-MON-1-0-1-DELETE-OLINE-2-1-7","Cancelled","Cancelled"
"552858802","AP-EXT-552858802-4437987-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552845167","AP-EXT-552845167-4420588-MON-2-0-0-1001","Cancelled","Cancelled"
"552792316","AP-EXT-552792316-4355827-MON-1-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552842139","AP-EXT-552842139-4415091-MON-1-0-1-DELETE-UNI-1-6","Cancelled","Cancelled"
"552849493","AP-EXT-552849493-4424012-MON-1-0-0","Cancelled","Cancelled"
